dataset,model_type,seed,epsilon,result
MNIST,prune_0.85,20,0.007,58
MNIST,prune_0.85,30,0.007,60
MNIST,prune_0.85,40,0.007,38
MNIST,prune_0.85,50,0.007,61
MNIST,prune_0.85,60,0.007,80
MNIST,prune_0.85,70,0.007,42
MNIST,prune_0.85,80,0.007,17
MNIST,prune_0.85,90,0.007,25
MNIST,prune_0.9,10,0.007,40
MNIST,prune_0.9,100,0.007,40
MNIST,prune_0.9,20,0.007,20
MNIST,prune_0.9,30,0.007,42
MNIST,prune_0.9,40,0.007,17
MNIST,prune_0.9,50,0.007,11
MNIST,prune_0.9,60,0.007,52
MNIST,prune_0.9,70,0.007,34
MNIST,prune_0.9,80,0.007,32
MNIST,prune_0.9,90,0.007,13
MNIST,baseline,10,0.008,71
MNIST,baseline,100,0.008,20
MNIST,baseline,20,0.008,77
MNIST,baseline,30,0.008,56
MNIST,baseline,40,0.008,40
MNIST,baseline,50,0.008,64
MNIST,baseline,60,0.008,78
MNIST,baseline,70,0.008,18
MNIST,baseline,80,0.008,70
MNIST,baseline,90,0.008,37
MNIST,prune_0.2,10,0.008,53
MNIST,prune_0.2,100,0.008,28
MNIST,prune_0.2,20,0.008,53
MNIST,prune_0.2,30,0.008,90
MNIST,prune_0.2,40,0.008,55
MNIST,prune_0.2,50,0.008,59
MNIST,prune_0.2,60,0.008,65
MNIST,prune_0.2,70,0.008,54
MNIST,prune_0.2,80,0.008,20
MNIST,prune_0.2,90,0.008,50
MNIST,prune_0.4,10,0.008,69
MNIST,prune_0.4,100,0.008,54
MNIST,prune_0.4,20,0.008,76
MNIST,prune_0.4,30,0.008,91
MNIST,prune_0.4,40,0.008,77
MNIST,prune_0.4,50,0.008,63
MNIST,prune_0.4,60,0.008,68
MNIST,prune_0.4,70,0.008,29
MNIST,prune_0.4,80,0.008,54
MNIST,prune_0.4,90,0.008,53
MNIST,prune_0.6,10,0.008,63
MNIST,prune_0.6,100,0.008,38
MNIST,prune_0.6,20,0.008,75
MNIST,prune_0.6,30,0.008,90
MNIST,prune_0.6,40,0.008,57
MNIST,prune_0.6,50,0.008,61
MNIST,prune_0.6,60,0.008,64
MNIST,prune_0.6,70,0.008,48
MNIST,prune_0.6,80,0.008,30
MNIST,prune_0.6,90,0.008,37
MNIST,prune_0.7,10,0.008,40
MNIST,prune_0.7,100,0.008,7
MNIST,prune_0.7,20,0.008,52
MNIST,prune_0.7,30,0.008,82
MNIST,prune_0.7,40,0.008,46
MNIST,prune_0.7,50,0.008,58
MNIST,prune_0.7,60,0.008,46
MNIST,prune_0.7,70,0.008,26
MNIST,prune_0.7,80,0.008,4
MNIST,prune_0.7,90,0.008,16
MNIST,prune_0.75,10,0.008,25
MNIST,prune_0.75,100,0.008,11
MNIST,prune_0.75,20,0.008,20
MNIST,prune_0.75,30,0.008,32
MNIST,prune_0.75,40,0.008,22
MNIST,prune_0.75,50,0.008,38
MNIST,prune_0.75,60,0.008,55
MNIST,prune_0.75,70,0.008,15
MNIST,prune_0.75,80,0.008,13
MNIST,prune_0.75,90,0.008,15
MNIST,prune_0.8,10,0.008,15
MNIST,prune_0.8,100,0.008,2
MNIST,prune_0.8,20,0.008,1
MNIST,prune_0.8,30,0.008,41
MNIST,prune_0.8,40,0.008,18
MNIST,prune_0.8,50,0.008,19
MNIST,prune_0.8,60,0.008,25
MNIST,prune_0.8,70,0.008,12
MNIST,prune_0.8,80,0.008,2
MNIST,prune_0.8,90,0.008,5
MNIST,prune_0.85,10,0.008,6
MNIST,prune_0.85,100,0.008,3
MNIST,prune_0.85,20,0.008,9
MNIST,prune_0.85,30,0.008,32
MNIST,prune_0.85,40,0.008,3
MNIST,prune_0.85,50,0.008,4
MNIST,prune_0.85,60,0.008,37
MNIST,prune_0.85,70,0.008,10
MNIST,prune_0.85,80,0.008,5
MNIST,prune_0.85,90,0.008,3
MNIST,prune_0.9,10,0.008,7
MNIST,prune_0.9,100,0.008,7
MNIST,prune_0.9,20,0.008,5
MNIST,prune_0.9,30,0.008,0
MNIST,prune_0.9,40,0.008,0
MNIST,prune_0.9,50,0.008,1
MNIST,prune_0.9,60,0.008,20
MNIST,prune_0.9,70,0.008,0
MNIST,prune_0.9,80,0.008,7
MNIST,prune_0.9,90,0.008,1
